time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-12-15T12:14:43.000Z,36.18210093,-75.75149084,-41.40460205078125,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:45.000Z,36.18210041,-75.75149155,-41.509185791015625,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:46.000Z,36.18210039,-75.75149162,-41.48980712890625,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:48.000Z,36.18210036,-75.75149178,-41.44866943359375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:50.000Z,36.18210039,-75.75149177,-41.42535400390625,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:52.000Z,36.18210408,-75.7514919,-40.4464111328125,3.216,332.0,0.18,17,gps,,,,,,,,100,
2020-12-15T12:14:53.000Z,36.18209976,-75.75149323,-40.180511474609375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:54.000Z,36.18209876,-75.75149897,-40.021087646484375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:14:55.000Z,36.18209813,-75.75150398,-39.87677001953125,3.216,,0.0,16,gps,,,,,,,,100,
2020-12-15T12:14:57.000Z,36.18209544,-75.75150795,-39.353424072265625,3.216,,0.0,16,gps,,,,,,,,100,
2020-12-15T12:14:59.000Z,36.18209142,-75.75151103,-38.174163818359375,3.216,,0.0,16,gps,,,,,,,,100,
2020-12-15T12:15:01.000Z,36.1820949,-75.75151586,-37.725860595703125,3.216,,0.0,16,gps,,,,,,,,100,
2020-12-15T12:15:03.000Z,36.18209611,-75.75151756,-37.068084716796875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:05.000Z,36.18209721,-75.7515177,-36.912445068359375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:06.000Z,36.18209718,-75.75151784,-36.91009521484375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:08.000Z,36.18209719,-75.75151795,-36.887176513671875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:10.000Z,36.18209723,-75.751518,-37.711212158203125,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:11.000Z,36.18209723,-75.75151801,-37.485565185546875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:13.000Z,36.18209722,-75.75151805,-37.343353271484375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:15.000Z,36.18210056,-75.75151108,-36.8348388671875,3.216,114.6,0.16,16,gps,,,,,,,,100,
2020-12-15T12:15:17.048Z,36.1821372,-75.7513873,-34.10000228881836,30.252,,,0,network,,,,,,,,100,
2020-12-15T12:15:18.000Z,36.18210594,-75.75151041,-36.85369873046875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:19.000Z,36.1821049,-75.75151005,-36.4627685546875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:20.000Z,36.18210492,-75.75150839,-36.42645263671875,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:22.000Z,36.18210553,-75.7515078,-36.555267333984375,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:24.000Z,36.18210517,-75.75150785,-36.14697265625,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:26.000Z,36.18210123,-75.75150491,-34.876220703125,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:28.000Z,36.18210713,-75.75149847,-33.59796142578125,3.216,48.5,0.43,17,gps,,,,,,,,100,
2020-12-15T12:15:30.000Z,36.18210954,-75.75149562,-35.60382080078125,3.216,,0.0,17,gps,,,,,,,,100,
2020-12-15T12:15:32.000Z,36.18211736,-75.75149905,-34.99114990234375,3.216,21.3,0.26,16,gps,,,,,,,,100,
